SOURCE_ID	SOURCE_NAME	TARGET_ID	TARGET_NAME	PolysemyByFamily	DerivationByFamily
Zalizniak-2024-4583-75	anathema	Zalizniak-2024-4583-2921	swearword	1	0
Zalizniak-2024-4583-76	ancestor	Zalizniak-2024-4583-222	bear (Ursus)	1	0
Zalizniak-2024-4583-78	anemic	Zalizniak-2024-4583-4437	weak	2	0
Zalizniak-2024-4583-81	anger	Zalizniak-2024-4583-2244	poison	1	0
Zalizniak-2024-4583-86	animal bladder	Zalizniak-2024-4583-1217	glass (material)	1	0
Zalizniak-2024-4583-87	animal yield	Zalizniak-2024-4583-2300	property, possessions	1	0
Zalizniak-2024-4583-89	ankle bone for playing	Zalizniak-2024-4583-2781	spool	1	0
Zalizniak-2024-4583-91	ant	Zalizniak-2024-4583-3563	to grow numb	1	0
Zalizniak-2024-4583-91	ant	Zalizniak-2024-4583-2459	rust (n.)	1	0
Zalizniak-2024-4583-93	antelope	Zalizniak-2024-4583-2400	rhinoceros	1	0
Zalizniak-2024-4583-96	anvil (of a blacksmith)	Zalizniak-2024-4583-1495	incus, anvil bone	3	3
Zalizniak-2024-4583-98	any	Zalizniak-2024-4583-176	bad	1	0
Zalizniak-2024-4583-103	appetite	Zalizniak-2024-4583-4492	will	1	0
Zalizniak-2024-4583-104	apple	Zalizniak-2024-4583-2267	potato	2	2
Zalizniak-2024-4583-104	apple	Zalizniak-2024-4583-549	city block	1	0
Zalizniak-2024-4583-104	apple	Zalizniak-2024-4583-1591	knee	1	0
Zalizniak-2024-4583-104	apple	Zalizniak-2024-4583-1221	globus cruciger	0	2
Zalizniak-2024-4583-104	apple	Zalizniak-2024-4583-2205	pineapple	0	2
Zalizniak-2024-4583-106	apricot	Zalizniak-2024-4583-504	chanterelle	0	1
Zalizniak-2024-4583-108	Aquarius (constellation)	Zalizniak-2024-4583-1029	February	0	1
Zalizniak-2024-4583-109	arbalest, crossbow	Zalizniak-2024-4583-1634	leaf spring	1	0
Zalizniak-2024-4583-110	arc	Zalizniak-2024-4583-2352	rainbow	1	1
Zalizniak-2024-4583-110	arc	Zalizniak-2024-4583-342	bow (weapon)	2	0
Zalizniak-2024-4583-112	Aries	Zalizniak-2024-4583-107	April	0	1
Zalizniak-2024-4583-113	arm	Zalizniak-2024-4583-354	branch (of a river)	3	1
Zalizniak-2024-4583-113	arm	Zalizniak-2024-4583-2678	sleeve	3	1
Zalizniak-2024-4583-113	arm	Zalizniak-2024-4583-1963	neck (of a musical instrument)	2	0
Zalizniak-2024-4583-115	armpit	Zalizniak-2024-4583-1287	gulf	2	0
Zalizniak-2024-4583-115	armpit	Zalizniak-2024-4583-1832	middle of nowhere, periphery	1	0
Zalizniak-2024-4583-116	army	Zalizniak-2024-4583-2167	people, nation	1	0
Zalizniak-2024-4583-116	army	Zalizniak-2024-4583-4417	war	1	0
Zalizniak-2024-4583-116	army	Zalizniak-2024-4583-217	battle	1	0
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-2352	rainbow	1	0
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-399	bullet	7	0
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-1672	lightning	1	1
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-789	diamonds (in cards)	1	0
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-2748	spades (in cards)	1	0
Zalizniak-2024-4583-119	arrow	Zalizniak-2024-4583-2857	straight	1	0
Zalizniak-2024-4583-124	as, like	Zalizniak-2024-4583-231	because of	1	0
Zalizniak-2024-4583-124	as, like	Zalizniak-2024-4583-4465	when	1	0
Zalizniak-2024-4583-124	as, like	Zalizniak-2024-4583-1468	if	1	0
Zalizniak-2024-4583-125	ash (tree)	Zalizniak-2024-4583-1764	maple	1	0
Zalizniak-2024-4583-126	ashes	Zalizniak-2024-4583-1272	grey	2	4
Zalizniak-2024-4583-126	ashes	Zalizniak-2024-4583-2271	powdery mildew	0	1
Zalizniak-2024-4583-126	ashes	Zalizniak-2024-4583-754	dead (adj.)	1	0
Zalizniak-2024-4583-135	atheist	Zalizniak-2024-4583-713	cruel	2	0
Zalizniak-2024-4583-135	atheist	Zalizniak-2024-4583-2529	scoundrel	2	0
Zalizniak-2024-4583-135	atheist	Zalizniak-2024-4583-871	expression of anger	2	0
Zalizniak-2024-4583-136	attack (n.)	Zalizniak-2024-4583-137	attack of disease	1	0
Zalizniak-2024-4583-140	August	Zalizniak-2024-4583-1320	harvest	1	0
Zalizniak-2024-4583-141	aunt	Zalizniak-2024-4583-2995	term of address to a woman	3	0
Zalizniak-2024-4583-143	aunt (father's sister)	Zalizniak-2024-4583-1044	fever	1	0
Zalizniak-2024-4583-143	aunt (father's sister)	Zalizniak-2024-4583-2995	term of address to a woman	1	0
Zalizniak-2024-4583-143	aunt (father's sister)	Zalizniak-2024-4583-1601	lady	1	0
Zalizniak-2024-4583-144	aunt (mother's brother's wife)	Zalizniak-2024-4583-2995	term of address to a woman	1	0
Zalizniak-2024-4583-145	aunt (mother's sister)	Zalizniak-2024-4583-2691	smallpox	1	0
Zalizniak-2024-4583-145	aunt (mother's sister)	Zalizniak-2024-4583-2995	term of address to a woman	1	0
Zalizniak-2024-4583-145	aunt (mother's sister)	Zalizniak-2024-4583-4480	widow	1	0
Zalizniak-2024-4583-145	aunt (mother's sister)	Zalizniak-2024-4583-2824	stepmother	1	0
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-4543	year	1	0
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-1320	harvest	2	0
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-1399	honey mushroom (Armillaria mellea)	1	0
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-2477	sad	1	0
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-2576	shadow side	0	1
Zalizniak-2024-4583-149	autumn	Zalizniak-2024-4583-2561	September	0	2
Zalizniak-2024-4583-150	autumn fall of the leaves	Zalizniak-2024-4583-2013	November	1	0
Zalizniak-2024-4583-150	autumn fall of the leaves	Zalizniak-2024-4583-2038	October	1	1
Zalizniak-2024-4583-151	awake	Zalizniak-2024-4583-138	attentive	2	0
Zalizniak-2024-4583-154	awl	Zalizniak-2024-4583-796	dinner fork	1	0
Zalizniak-2024-4583-154	awl	Zalizniak-2024-4583-1463	icicle	0	1
Zalizniak-2024-4583-155	awn	Zalizniak-2024-4583-1078	fishbone	1	0
Zalizniak-2024-4583-156	axe	Zalizniak-2024-4583-1760	mantis	0	1
Zalizniak-2024-4583-156	axe	Zalizniak-2024-4583-4527	woodpecker	0	1
Zalizniak-2024-4583-156	axe	Zalizniak-2024-4583-2308	protrusion at the end of a key	1	0
Zalizniak-2024-4583-159	berry	Zalizniak-2024-4583-159	berry	1	0
Zalizniak-2024-4583-159	berry	Zalizniak-2024-4583-510	cheek	1	0
Zalizniak-2024-4583-159	berry	Zalizniak-2024-4583-140	August	0	2
Zalizniak-2024-4583-160	beverage, drink	Zalizniak-2024-4583-362	breakfast	0	1
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-2958	talkative person	3	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-2056	omen	1	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-3480	to fly	0	1
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-1309	happiness, luck	1	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-1147	freckle	0	2
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-212	bat	1	1
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-49	airplane	1	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-1590	kite (lightweight toy)	2	2
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-2996	term of address with endearment	3	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-585	cock (of a gun)	1	0
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-504	chanterelle	1	1
Zalizniak-2024-4583-161	bird	Zalizniak-2024-4583-586	cockchafer	1	1
Zalizniak-2024-4583-162	blood-sucking insect	Zalizniak-2024-4583-2895	summer	0	1
Zalizniak-2024-4583-163	body part	Zalizniak-2024-4583-4273	tribe	1	0
Zalizniak-2024-4583-163	body part	Zalizniak-2024-4583-487	cell (of a political party, organization)	1	0
Zalizniak-2024-4583-163	body part	Zalizniak-2024-4583-1809	member	1	0
Zalizniak-2024-4583-163	body part	Zalizniak-2024-4583-2935	syllable	1	0
Zalizniak-2024-4583-164	building	Zalizniak-2024-4583-647	constellation	4	1
Zalizniak-2024-4583-165	babble-tube	Zalizniak-2024-4583-2414	ring finger	0	1
Zalizniak-2024-4583-167	baby chicken	Zalizniak-2024-4583-2232	Pleiades	0	1
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-2907	support (n.)	4	1
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-1909	mountain ridge, edge	2	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-249	behind	2	1
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-1354	height (of a person)	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-2910	surface	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-1313	hard, solid	0	1
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-1702	loins	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-331	book spine	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-1927	mushroom cap	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-2424	roof	1	0
Zalizniak-2024-4583-168	back (body part)	Zalizniak-2024-4583-2038	October	0	1
Zalizniak-2024-4583-170	back of the head	Zalizniak-2024-4583-169	back of the axe head	1	0
Zalizniak-2024-4583-174	backside	Zalizniak-2024-4583-420	buttock	2	0
Zalizniak-2024-4583-175	backwards	Zalizniak-2024-4583-41	again	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-1240	good	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-956	evil (adj.)	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-1636	lean	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-358	brave	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-2634	sick, ill	2	1
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-4385	very	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-177	bad (ethically)	1	0
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-1191	garbage	0	1
Zalizniak-2024-4583-176	bad	Zalizniak-2024-4583-2937	syphilis	0	1
Zalizniak-2024-4583-177	bad (ethically)	Zalizniak-2024-4583-4314	ugly, unpleasant	1	0
Zalizniak-2024-4583-177	bad (ethically)	Zalizniak-2024-4583-222	bear (Ursus)	1	0
Zalizniak-2024-4583-177	bad (ethically)	Zalizniak-2024-4583-2568	severe, harsh	1	0
Zalizniak-2024-4583-181	bad weather	Zalizniak-2024-4583-1926	mushroom	1	1
Zalizniak-2024-4583-181	bad weather	Zalizniak-2024-4583-942	Eurasian hoopoe	0	1
Zalizniak-2024-4583-184	badger (Meles)	Zalizniak-2024-4583-2191	pig (Sus scrofa)	1	0
Zalizniak-2024-4583-184	badger (Meles)	Zalizniak-2024-4583-1872	mole (Talpa)	0	1
Zalizniak-2024-4583-184	badger (Meles)	Zalizniak-2024-4583-582	coati	1	0
Zalizniak-2024-4583-184	badger (Meles)	Zalizniak-2024-4583-4517	wolverine	0	1
Zalizniak-2024-4583-184	badger (Meles)	Zalizniak-2024-4583-1398	honey badger	0	3
Zalizniak-2024-4583-187	bald	Zalizniak-2024-4583-2668	skull	0	1
Zalizniak-2024-4583-187	bald	Zalizniak-2024-4583-738	dandelion	0	1
Zalizniak-2024-4583-187	bald	Zalizniak-2024-4583-4333	unforested, treeless place	1	0
Zalizniak-2024-4583-187	bald	Zalizniak-2024-4583-1113	fool	1	0
Zalizniak-2024-4583-188	bald spot	Zalizniak-2024-4583-2785	spot, stain	1	1
Zalizniak-2024-4583-198	bark (of a tree)	Zalizniak-2024-4583-4120	to tan (hides)	0	2
Zalizniak-2024-4583-199	barley	Zalizniak-2024-4583-2878	sty (on the eye)	2	3
Zalizniak-2024-4583-199	barley	Zalizniak-2024-4583-2029	oat	1	0
Zalizniak-2024-4583-199	barley	Zalizniak-2024-4583-360	bread	0	1
Zalizniak-2024-4583-200	barrel	Zalizniak-2024-4583-1016	fat (adj.)(of a person)	1	0
Zalizniak-2024-4583-200	barrel	Zalizniak-2024-4583-327	Boletus edulis	1	0
Zalizniak-2024-4583-200	barrel	Zalizniak-2024-4583-1590	kite (lightweight toy)	0	1
Zalizniak-2024-4583-203	barrier	Zalizniak-2024-4583-790	diaphragm	1	0
Zalizniak-2024-4583-208	basket	Zalizniak-2024-4583-516	chest (body part)	1	0
Zalizniak-2024-4583-208	basket	Zalizniak-2024-4583-241	beehive	2	0
Zalizniak-2024-4583-208	basket	Zalizniak-2024-4583-4369	vagina	1	0
Zalizniak-2024-4583-208	basket	Zalizniak-2024-4583-1797	measure of volume	1	0
Zalizniak-2024-4583-210	bast, the layer under the bark	Zalizniak-2024-4583-1333	head	1	1
Zalizniak-2024-4583-211	bastard	Zalizniak-2024-4583-431	curse	2	0
Zalizniak-2024-4583-212	bat	Zalizniak-2024-4583-2258	poor, needy	1	0
Zalizniak-2024-4583-213	bath	Zalizniak-2024-4583-2510	Saturday	0	2
Zalizniak-2024-4583-214	bathroom	Zalizniak-2024-4583-4233	toilet	3	1
Zalizniak-2024-4583-217	battle	Zalizniak-2024-4583-807	dispute, discussion	1	0
Zalizniak-2024-4583-218	bead	Zalizniak-2024-4583-471	cataract (of the eye)	1	0
Zalizniak-2024-4583-219	beak	Zalizniak-2024-4583-585	cock (of a gun)	0	1
Zalizniak-2024-4583-219	beak	Zalizniak-2024-4583-991	face	1	0
Zalizniak-2024-4583-219	beak	Zalizniak-2024-4583-4452	well sweep	1	0
Zalizniak-2024-4583-219	beak	Zalizniak-2024-4583-2626	shuttle (weaving instrument)	0	1
Zalizniak-2024-4583-219	beak	Zalizniak-2024-4583-450	cap peak	1	0
Zalizniak-2024-4583-220	beam	Zalizniak-2024-4583-2907	support (n.)	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1350	hedgehog (Еrinaceus)	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-327	Boletus edulis	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1872	mole (Talpa)	0	1
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-2294	profiteer	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-578	clumsy	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-401	bully	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1587	kinkajou	0	3
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-92	anteater	1	1
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-2684	sloth (South American mammal)	1	0
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-2974	tayra	0	1
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-2342	raccoon	0	2
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-4520	wombat	0	2
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-2376	red panda	0	2
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1598	koala	0	3
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-4517	wolverine	0	1
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1208	giant panda	0	2
Zalizniak-2024-4583-222	bear (Ursus)	Zalizniak-2024-4583-1873	mole cricket (Gryllotalpa)	1	2
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-528	chin	1	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-194	barbel	0	1
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-156	axe	0	1
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-1912	moustache	2	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-2218	plait, braid	1	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-155	awn	1	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-1046	fibres prepared for spinning	1	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-2494	salsify	0	2
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-1041	fetlock	0	1
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-2308	protrusion at the end of a key	1	0
Zalizniak-2024-4583-224	beard	Zalizniak-2024-4583-1756	mane	1	0
Zalizniak-2024-4583-225	bearded man	Zalizniak-2024-4583-226	bearded vulture	1	1
Zalizniak-2024-4583-226	bearded vulture	Zalizniak-2024-4583-1224	glutton	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1240	good	4	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-504	chanterelle	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1100	flower	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1449	husband	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-4482	wife	0	1
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-257	beloved	2	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-4385	very	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1584	kind, good-hearted	1	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1242	good (ethically)	3	0
Zalizniak-2024-4583-228	beautiful	Zalizniak-2024-4583-1241	good (about weather)	3	0
Zalizniak-2024-4583-232	bed	Zalizniak-2024-4583-2416	river-bed	2	1
Zalizniak-2024-4583-232	bed	Zalizniak-2024-4583-1193	garden bed	3	0
Zalizniak-2024-4583-232	bed	Zalizniak-2024-4583-227	bearing (mechanical device)	2	2
Zalizniak-2024-4583-232	bed	Zalizniak-2024-4583-2569	sexual partner	1	2
Zalizniak-2024-4583-232	bed	Zalizniak-2024-4583-39	afterbirth, placenta	1	2
Zalizniak-2024-4583-237	bedsheet	Zalizniak-2024-4583-2530	screen (in cinema)	1	0
Zalizniak-2024-4583-238	bee	Zalizniak-2024-4583-1499	industrious, diligent person	1	0
Zalizniak-2024-4583-238	bee	Zalizniak-2024-4583-1415	hornet	0	1
Zalizniak-2024-4583-238	bee	Zalizniak-2024-4583-2892	sugar	1	0
Zalizniak-2024-4583-238	bee	Zalizniak-2024-4583-402	bumblebee	1	1
Zalizniak-2024-4583-239	bee swarm	Zalizniak-2024-4583-710	crowd (of people)	1	0
Zalizniak-2024-4583-240	beech	Zalizniak-2024-4583-393	buckwheat	0	1
Zalizniak-2024-4583-241	beehive	Zalizniak-2024-4583-449	cannon (weapon)	1	0
Zalizniak-2024-4583-244	beetle	Zalizniak-2024-4583-1146	freak, oddity	1	0
Zalizniak-2024-4583-244	beetle	Zalizniak-2024-4583-2315	pupil (of an eye)	1	0
Zalizniak-2024-4583-244	beetle	Zalizniak-2024-4583-624	common starling	1	0
Zalizniak-2024-4583-244	beetle	Zalizniak-2024-4583-1458	insect	1	0
Zalizniak-2024-4583-245	before	Zalizniak-2024-4583-76	ancestor	0	1
Zalizniak-2024-4583-247	beginning	Zalizniak-2024-4583-1114	foot	1	0
Zalizniak-2024-4583-247	beginning	Zalizniak-2024-4583-334	boss	0	1
Zalizniak-2024-4583-249	behind	Zalizniak-2024-4583-38	after	2	0
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-4424	watch, clock	1	0
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-253	bellflower (Campanula)	2	3
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-2958	talkative person	1	0
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-976	eye socket	1	0
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-1674	lily-of-the-valley (Convallaria majalis)	1	3
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-2999	testicle	1	0
Zalizniak-2024-4583-251	bell	Zalizniak-2024-4583-577	clubs (in cards)	1	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-323	body	1	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-1518	inside	1	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-2278	pregnant	3	2
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-1016	fat (adj.)(of a person)	0	1
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-4519	womb	2	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-1830	middle	2	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-3093	to be angry	0	1
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-1224	glutton	1	1
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-2416	river-bed	1	0
Zalizniak-2024-4583-255	belly	Zalizniak-2024-4583-241	beehive	1	0
Zalizniak-2024-4583-257	beloved	Zalizniak-2024-4583-1449	husband	1	0
Zalizniak-2024-4583-258	below, down, bottom part	Zalizniak-2024-4583-2002	North	3	1
Zalizniak-2024-4583-259	belt	Zalizniak-2024-4583-2352	rainbow	1	3
Zalizniak-2024-4583-261	bench	Zalizniak-2024-4583-1193	garden bed	1	0
Zalizniak-2024-4583-263	benediction	Zalizniak-2024-4583-4493	will (legal document)	1	0
Zalizniak-2024-4583-268	betel	Zalizniak-2024-4583-1344	hearts (in cards)	1	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-901	elder	4	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-334	boss	2	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-3026	thumb	0	4
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-1717	loud	1	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-1477	important	3	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-1265	great	4	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-1379	high (size), tall	2	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-2019	numerous	1	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-3565	to grow up	1	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-1746	main	2	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-3005	thick	1	0
Zalizniak-2024-4583-271	big	Zalizniak-2024-4583-2040	of high rank	1	0
